"""Curso"",""Nombre"",""Credito"",""Departamento"""
"CI6112,""Análisis de Sistemas de Recursos Hídricos"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6201,""Proyecto de Estructuras de Acero"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6203,""Sistemas Pasivos de Protección Sísmica de Estructuras"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6301,""Ingeniería de Tránsito"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6302,""Proyecto de Diseño Tecnológico"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6303,""Políticas de Transporte"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6306,""Economía de Transporte Avanzada"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6309,""Transporte Público"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6310,""Seguridad de Tránsito"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6312,""Modelos Avanzados de Demanda por Transporte"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6401,""Proyecto de Geotecnia"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6402,""Comportamiento de Medios Particulados"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6501,""Proyecto de Construcción de Edificios"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6502,""Proyecto de Construcción de Obras Civiles"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI6901,""Práctica Profesional III"",""7"",""CI - Departamento de Ingeniería Civil"""
"CI6908,""Introducción al Trabajo de Título"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI6909,""Trabajo de Título"",""21"",""CI - Departamento de Ingeniería Civil"""
"CI6910,""Trabajo de Memoria de Título"",""21"",""CI - Departamento de Ingeniería Civil"""
"CI7112,""Hidrología de Nieve"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI7201,""Trabajo de Tesis I"",""30"",""CI - Departamento de Ingeniería Civil"""
"CI7202,""Trabajo de Tesis II"",""30"",""CI - Departamento de Ingeniería Civil"""
"CI7213,""Dinámica Avanzada de Estructuras"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI7214,""Ingeniería Sísmica"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI7301,""Trabajo de Tesis I"",""15"",""CI - Departamento de Ingeniería Civil"""
"CI7302,""Trabajo de Tesis II"",""15"",""CI - Departamento de Ingeniería Civil"""
"CI7601,""Cuantificación de Incertidumbres: Aplicaciones en Ingeniería"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI7602,""Riesgo en Infraestructura Crítica"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI7900,""Trabajo de tesis doctoral I"",""30"",""CI - Departamento de Ingeniería Civil"""
"CI7901,""Trabajo de tesis doctoral II"",""30"",""CI - Departamento de Ingeniería Civil"""
"CI7906,""Seminario de Investigación Doctoral I"",""18"",""CI - Departamento de Ingeniería Civil"""
"CI7907,""Seminario de Investigación Doctoral II"",""30"",""CI - Departamento de Ingeniería Civil"""
"CI71F,""Modelación Hidrológica"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI71Q,""Hidrodinámica Ambiental"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI71S,""Seminario de Investigación Recursos y Medio Ambiente Hídrico"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI71Y,""Seminario: Introducción a la Hidrogeoquímica"",""3"",""CI - Departamento de Ingeniería Civil"""
"CI79A,""Introducción a la Tesis"",""6"",""CI - Departamento de Ingeniería Civil"""
"CI79B,""Tesis I"",""15"",""CI - Departamento de Ingeniería Civil"""
"CI79C,""Trabajo de Tesis II"",""15"",""CI - Departamento de Ingeniería Civil"""
"CM3201,""Ciencia de los Materiales I"",""6"",""CM - Departamento de Ciencia de los Materiales"""
"CM4201,""Materiales de Ingeniería"",""6"",""CM - Departamento de Ciencia de los Materiales"""
"CM4202,""Caracterización de Materiales"",""6"",""CM - Departamento de Ciencia de los Materiales"""
"DR100A,""Acondicionamiento Físico Básico"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR100B,""Acondicionamiento Físico Avanzado"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR130A,""Gimnasia Aeróbica I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR150A,""Entrenamiento Funcional I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR160A,""Métodos de Entrenamiento en Gimnasio I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR160B,""Métodos de entrenamiento en gimnasio II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR170A,""Cardio Fitness I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR180A,""Ejercicio Físico y Manejo del Estrés"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR180B,""Ejercicio físico y manejo del estrés II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR190A,""Pilates I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR210A,""Tai Chi I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR230A,""Aikido I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR420A,""Tenis de Mesa I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR500A,""Ajedrez I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR500B,""Ajedrez II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR520A,""Yoga"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR610A,""Guitarra Clásica I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR610B,""Guitarra Clásica II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR700A,""Teatro I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR700B,""Teatro II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR800A,""Práctica Deportiva de Selección I"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"DR800B,""Práctica Deportiva de Selección II"",""3"",""DR - Área de Deportes, Recreación y Cultura"""
"ED740,""Seminario de Doctorado"",""6"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED741,""Trabajo de Investigación I"",""2"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED742,""Trabajo de Investigación II"",""3"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED743,""Taller de Investigación I"",""6"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED744,""Taller de Investigación II"",""12"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED785,""Trabajo de Investigación Dirigido"",""6"",""ED - Doctorado en Ingeniería Eléctrica"""
"ED786,""Introducción a la Tesis"",""6"",""ED - Doctorado en Ingeniería Eléctrica"""
"EH2002,""Argumentación, la Realización del Ser Humano en el Discurso"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2103,""Filosofía Política"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2108,""Experiencia Estética entre Arte, Ciencia y Tecnología"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2202,""Etica Profesional de la Ingeniería"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2203,""Introduccion a la Bioética"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2206,""Introducción al Transhumanismo. Prospectivas Éticas Sobre el Futuro de la Humanidad"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2308,""Cambios Globales en un Mundo Complejo"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2309,""Introducción a las Políticas Públicas en Medio Ambiente y Desarrollo Sustentable"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2401,""Socioeconomía"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2403,""Ciencia y Religión"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2501,""Historia I"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2509,""Psicología e Historia para Entender la Cultura Latinoamericana"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2514,""Historia General de América Latina"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2515,""Primeras Naciones Americanas"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2516,""Ingeniería, Tecnología y Sociedad: una Perspectiva Histórica"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2518,""Introducción a la Lengua y Cultura Mapuche"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2601,""Literatura, Cine & otras Ficciones"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2605,""Las """"heroínas"""" de nuestra historia. Imágenes, mitos y relatos"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
"EH2609,""Cine Latinoamericano y Chileno"",""3"",""EH - Estudios Transversales en Humanidades para las Ingenierías y Ciencias"""
