"|","|__Codigo","|__Seccion","|__Profesores__001","|__Profesores__002","|__Profesores__003","|__Profesores__004","|__Profesores__005","|__Profesores__006","|__Profesores__007","|__Profesores__008","|__Profesores__009","|__Profesores__010","|__Profesores__011","|__Profesores__012"
"126","CC7221","1","José M. Saavedra R.","","","","","","","","","","",""
"127","CC7320","1","Gonzalo Navarro","","","","","","","","","","",""
"128","CC7325","1","Diego Arroyuelo B.","","","","","","","","","","",""
"129","CC7515","1","Nancy Hitschfeld K.","","","","","","","","","","",""
"130","CC7910","1","Claudio Gutiérrez","","","","","","","","","","",""
"131","CC7920","1","Gonzalo Navarro","","","","","","","","","","",""
"132","CC7970","1","Nancy Hitschfeld K.","","","","","","","","","","",""
"133","CC7980","1","Nancy Hitschfeld K.","","","","","","","","","","",""
"134","CC8910","1","Gonzalo Navarro","","","","","","","","","","",""
"135","CC8920","1","Gonzalo Navarro","","","","","","","","","","",""
"136","CC8930","1","Gonzalo Navarro","","","","","","","","","","",""
"137","CC8940","1","Gonzalo Navarro","","","","","","","","","","",""
"138","CC8950","1","Gonzalo Navarro","","","","","","","","","","",""
"139","CC8960","1","Gonzalo Navarro","","","","","","","","","","",""
"140","CC63D","1","Daniel Perovich","","","","","","","","","","",""
"141","CC63G","1","Daniel Perovich","","","","","","","","","","",""
"142","CC63H","1","Sergio F. Ochoa D.","","","","","","","","","","",""
"143","CC63I","1","Francisco J. Gutiérrez","","","","","","","","","","",""
"144","CC63J","1","Daniel Perovich","","","","","","","","","","",""
"145","CC63K","1","Éric Tanter","","","","","","","","","","",""
"146","CC66A","1","Francisco J. Gutiérrez","","","","","","","","","","",""
"147","CC66B","1","Benjamín Bustos","Hernán Sarmiento A.","","","","","","","","","",""
"148","CC66C","1","Sebastián Ferrada Aliaga","","","","","","","","","","",""
"149","CC66E","1","Mauricio Quezada V.","","","","","","","","","","",""
"150","CC66G","1","Claudio Gutiérrez","Juan Manuel Barrios","","","","","","","","","",""
"151","CC66H","1","Jorge Pérez Rojas","","","","","","","","","","",""
"152","CC66I","1","Aidan Hogan","","","","","","","","","","",""
"153","CC73B","1","Daniel Perovich","","","","","","","","","","",""
"154","CC79E","1","Sergio F. Ochoa D.","Francisco J. Gutiérrez","Daniel Perovich","","","","","","","","",""
"155","CC79F","1","Sergio F. Ochoa D.","Francisco J. Gutiérrez","Daniel Perovich","","","","","","","","",""
"156","CC79G","1","Daniel Perovich","","","","","","","","","","",""
"157","CC79H","1","Daniel Perovich","","","","","","","","","","",""
"158","CI3111","1","J Felipe Beltran M.","","","","","","","","","","",""
"159","CI3111","2","Rafael Ruiz G.","","","","","","","","","","",""
"160","CI3141","1","Marcela Munizaga M.","","","","","","","","","","",""
"161","CI3162","1","Aldo Tamburrino T.","","","","","","","","","","",""
"162","CI3201","1","Pedro Soto","","","","","","","","","","",""
"163","CI3202","1","Francisco Hernández P.","","","","","","","","","","",""
"164","CI3501","1","Eduardo Donoso C.","Gerardo Díaz Rodenas","","","","","","","","","",""
"165","CI3501","2","Eduardo Donoso C.","Gerardo Díaz Rodenas","","","","","","","","","",""
"166","CI3502","1","Ivan Bejarano B.","","","","","","","","","","",""
"167","CI4101","1","Alberto De la Fuente Stranger","","","","","","","","","","",""
"168","CI4102","1","Ana Lucía Prieto Santa","","","","","","","","","","",""
"169","CI4201","1","Fernando Yañez U.","","","","","","","","","","",""
"170","CI4202","1","Ricardo Herrera M.","J Felipe Beltran M.","","","","","","","","","",""
"171","CI4203","1","Fabian Rojas B.","","","","","","","","","","",""
"172","CI4203","2","J Felipe Beltran M.","","","","","","","","","","",""
"173","CI4301","1","Marcela Munizaga M.","","","","","","","","","","",""
"174","CI4401","1","Roberto Gesche S.","","","","","","","","","","",""
"175","CI4402","1","Yolanda Alberto","","","","","","","","","","",""
"176","CI4402","2","J Felipe Beltran M.","","","","","","","","","","",""
"177","CI4901","1","Cristián E. Cortés","","","","","","","","","","",""
"178","CI5101","1","Miguel Lagos Zuñiga","","","","","","","","","","",""
"179","CI5102","1","Katherine Lizama Allende","","","","","","","","","","",""
"180","CI5102","2","J Felipe Beltran M.","","","","","","","","","","",""
"181","CI5103","1","Marcelo Olivares A.","","","","","","","","","","",""
"182","CI5104","1","Arturo Jorquera A.","","","","","","","","","","",""
"183","CI5111","1","M. María del Carmen L. Muñoz","","","","","","","","","","",""
"184","CI5115","1","Pamela Muñoz V.","","","","","","","","","","",""
"185","CI5201","1","Ruben Boroschek Krauskopf","","","","","","","","","","",""
"186","CI5201","2","J Felipe Beltran M.","","","","","","","","","","",""
"187","CI5202","1","Ricardo Herrera M.","","","","","","","","","","",""
"188","CI5206","1","Andrés Larrain C.","","","","","","","","","","",""
"189","CI5206","2","Mariane Kupfer Cauty","","","","","","","","","","",""
"190","CI5206","3","Juan Mendoza Valenzuela","","","","","","","","","","",""
"191","CI5212","1","J Felipe Beltran M.","","","","","","","","","","",""
"192","CI5221","1","Leonardo Massone S.","","","","","","","","","","",""
"193","CI5224","1","Mario Wagner M.","","","","","","","","","","",""
"194","CI5301","1","Cristián E. Cortés","","","","","","","","","","",""
"195","CI5302","1","Cristián E. Cortés","","","","","","","","","","",""
"196","CI5303","1","Sergio Jara D.","","","","","","","","","","",""
"197","CI5304","1","Sergio Jara D.","","","","","","","","","","",""
"198","CI5311","1","Andres Weintraub P.","Cristián E. Cortés","","","","","","","","","",""
"199","CI5401","1","Felipe Ochoa Cornejo","","","","","","","","","","",""
"200","CI5401","2","J Felipe Beltran M.","","","","","","","","","","",""
"201","CI5412","1","Patricia Rodríguez S.","","","","","","","","","","",""
"202","CI5415","1","Felipe Ochoa Cornejo","","","","","","","","","","",""
"203","CI5501","1","Edgardo González Lizama","","","","","","","","","","",""
"204","CI5502","1","William Wragg L.","","","","","","","","","","",""
"205","CI5503","1","Carmen Paz Muñoz E.","","","","","","","","","","",""
"206","CI5512","1","Alejandro Polanco C.","","","","","","","","","","",""
"207","CI5513","1","Jorge Pulgar A.","","","","","","","","","","",""
"208","CI5533","1","Pedro Astaburuaga G.","","","","","","","","","","",""
"209","CI5534","1","Juan Carlos Pozo R.","","","","","","","","","","",""
"210","CI5601","1","Adolfo Ochoa Llangato","","","","","","","","","","",""
"211","CI5605","1","Martín Brown S.","","","","","","","","","","",""
"212","CI5606","1","Matías Tapia Von Schultzendorff","","","","","","","","","","",""
"213","CI5801","1","Marcelo Casares","","","","","","","","","","",""
"214","CI5802","1","Ricardo Rojas P.","","","","","","","","","","",""
"215","CI5803","1","Ruben Boroschek Krauskopf","","","","","","","","","","",""
"216","CI5804","1","Catalina Iborra","","","","","","","","","","",""
"217","CI5805","1","Roberto Andrés Ceron Reyes","Ignacio Araya Paredes","","","","","","","","","",""
"218","CI5807","1","Ezio Costa Cordella","","","","","","","","","","",""
"219","CI5807","2","Pablo Andrés Aranda Valenzuela","","","","","","","","","","",""
"220","CI5809","1","Andrea Rodríguez Silva","","","","","","","","","","",""
"221","CI5810","1","Catalina Millán Montoya","","","","","","","","","","",""
"222","CI5901","1","Cristián E. Cortés","","","","","","","","","","",""
"223","CI6101","1","Alberto De la Fuente Stranger","Juvenal Letelier","","","","","","","","","",""
"224","CI6102","1","Miguel Lagos Zuñiga","","","","","","","","","","",""
"225","CI6102","2","Gabriel Castro A.","","","","","","","","","","",""
"226","CI6103","1","Juan Carlos Sanhueza N.","","","","","","","","","","",""
"227","CI6103","2","Tania I. Fernández","Álvaro Isla F.","","","","","","","","","",""
"228","CI6112","1","","","","","","","","","","","",""
"229","CI6201","1","Ramón Montecinos C.","","","","","","","","","","",""
"230","CI6201","2","Alejandro Verdugo P.","","","","","","","","","","",""
"231","CI6203","1","Rodrigo Retamales Saavedra","","","","","","","","","","",""
"232","CI6301","1","Alejandro Tirachini H.","","","","","","","","","","",""
"233","CI6302","1","Juan Enrique Cannobbio Salas","","","","","","","","","","",""
"234","CI6303","1","Gabriel Montero B.","","","","","","","","","","",""
"235","CI6306","1","Sergio Jara D.","","","","","","","","","","",""
"236","CI6309","1","Antonio Gschwender K.","Alejandro Tirachini H.","","","","","","","","","",""
"237","CI6310","1","Milton Bertin","","","","","","","","","","",""
"238","CI6312","1","Cristián Guevara Cue","","","","","","","","","","",""
