"Codigo","Seccion","Tipo","Dia","Inicio","Final"
"CI3501","2","Auxiliar","Lunes","16:00","18:00"
"CI3502","1","Catedra","Viernes","12:00","13:30"
"CI3502","1","Auxiliar","Sábado","08:30","11:45"
"CI4101","1","Catedra","Miércoles","08:30","10:00"
"CI4101","1","Auxiliar","Viernes","14:00","16:00"
"CI4102","1","Catedra","Miércoles","14:30","16:00"
"CI4102","1","Auxiliar","Jueves","08:30","10:00"
"CI4201","1","Catedra","Jueves","12:00","13:30"
"CI4201","1","Auxiliar","Miércoles","16:00","18:00"
"CI4202","1","Catedra","Jueves","12:00","13:30"
"CI4202","1","Auxiliar","Miércoles","18:00","20:00"
"CI4203","1","Catedra","Viernes","10:15","11:45"
"CI4203","1","Auxiliar","Jueves","14:00","16:00"
"CI4203","2","","","",""
"CI4301","1","Catedra","Viernes","12:00","13:30"
"CI4301","1","Auxiliar","Martes","16:00","18:00"
"CI4401","1","Catedra","Jueves","10:15","11:45"
"CI4401","1","Auxiliar","Miércoles","10:00","12:00"
"CI4401","1","Laboratorio","Lunes","14:00","16:00"
"CI4402","1","Catedra","Jueves","10:15","11:45"
"CI4402","1","Auxiliar","Miércoles","10:00","12:00"
"CI4402","1","Laboratorio","Lunes","16:00","18:00"
"CI4402","2","","","",""
"CI4901","1","","","",""
"CI5101","1","Catedra","Jueves","14:30","16:00"
"CI5101","1","Auxiliar","Viernes","16:00","18:00"
"CI5102","1","Catedra","Viernes","10:15","11:45"
"CI5102","1","Auxiliar","Jueves","16:15","17:45"
"CI5102","2","","","",""
"CI5103","1","Catedra","Jueves","10:15","11:45"
"CI5103","1","Auxiliar","Miércoles","14:00","16:00"
"CI5104","1","Catedra","Jueves","18:00","21:00"
"CI5104","1","Auxiliar","Viernes","16:00","18:00"
"CI5111","1","Catedra","Jueves","18:00","20:00"
"CI5115","1","Catedra","Viernes","14:00","16:00"
"CI5201","1","Catedra","Jueves","10:15","11:45"
"CI5201","1","Auxiliar","Miércoles","10:00","12:00"
"CI5201","2","","","",""
"CI5202","1","Catedra","Viernes","12:00","13:30"
"CI5202","1","Auxiliar","Miércoles","16:00","18:00"
"CI5206","1","Catedra","Miércoles","08:30","11:45"
"CI5206","2","Catedra","Miércoles","08:30","11:45"
"CI5206","3","Catedra","Miércoles","08:30","11:45"
"CI5212","1","Catedra","Jueves","08:30","10:00"
"CI5221","1","Catedra","Viernes","10:15","11:45"
"CI5221","1","Auxiliar","Miércoles","14:00","16:00"
"CI5224","1","Catedra","Jueves","12:00","13:30"
"CI5224","1","Auxiliar","Lunes","14:00","16:00"
"CI5301","1","Catedra","Viernes","10:15","11:45"
"CI5301","1","Auxiliar","Martes","16:00","18:00"
"CI5302","1","","","",""
"CI5303","1","Catedra","Viernes","12:00","13:30"
"CI5303","1","Auxiliar","Jueves","14:00","16:00"
"CI5304","1","","","",""
"CI5311","1","Catedra","Jueves","10:15","11:45"
"CI5311","1","Auxiliar","Miércoles","14:30","16:00"
"CI5401","1","Catedra","Jueves","12:00","13:30"
"CI5401","1","Auxiliar","Lunes","16:00","18:00"
"CI5401","2","","","",""
"CI5412","1","Catedra","Miércoles","18:00","21:00"
"CI5415","1","Catedra","Jueves","16:15","17:45"
"CI5501","1","Catedra","Jueves","08:30","10:00"
"CI5501","1","Auxiliar","Lunes","14:00","16:00"
"CI5502","1","Catedra","Jueves","08:30","10:00"
"CI5502","1","Auxiliar","Lunes","14:00","16:00"
"CI5503","1","Catedra","Viernes","10:15","11:45"
"CI5503","1","Auxiliar","Jueves","14:00","16:00"
"CI5512","1","Catedra","Lunes","12:00","13:30"
"CI5512","1","Auxiliar","Viernes","12:00","14:00"
"CI5513","1","Catedra","Jueves","12:00","13:30"
"CI5533","1","Catedra","Viernes","08:30","10:00"
"CI5533","1","Auxiliar","Viernes","14:00","16:00"
"CI5534","1","Catedra","Martes","18:00","20:00"
"CI5601","1","Catedra","Miércoles","14:30","16:00"
"CI5601","1","Auxiliar","Jueves","14:00","16:00"
"CI5605","1","Catedra","Jueves","14:30","16:00"
"CI5606","1","Catedra","Viernes","10:15","11:45"
"CI5606","1","Auxiliar","Martes","14:30","16:00"
"CI5801","1","Catedra","Jueves","14:30","16:00"
"CI5802","1","Catedra","Martes","16:00","18:00"
"CI5803","1","","","",""
"CI5804","1","Catedra","Miércoles","10:00","12:00"
"CI5805","1","Catedra","Miércoles","18:00","20:00"
"CI5807","1","Catedra","Martes","14:00","16:00"
"CI5807","2","Catedra","Jueves","14:00","16:00"
"CI5809","1","Catedra","Martes","16:15","17:45"
"CI5810","1","Catedra","Lunes","10:15","13:30"
"CI5901","1","","","",""
"CI6101","1","Catedra","Lunes","10:15","13:30"
"CI6101","1","Auxiliar","Viernes","12:00","13:30"
"CI6102","1","Catedra","Miércoles","08:30","11:45"
"CI6102","2","Catedra","Miércoles","08:30","11:45"
"CI6103","1","Catedra","Jueves","18:00","21:00"
"CI6103","2","Catedra","Jueves","18:00","21:00"
"CI6112","1","","","",""
"CI6201","1","Catedra","Lunes","16:15","19:30"
"CI6201","2","Catedra","Lunes","16:15","19:30"
"CI6203","1","Catedra","Viernes","08:30","10:00"
"CI6203","1","Auxiliar","Miércoles","10:15","11:45"
"CI6301","1","Catedra","Viernes","12:00","13:30"
"CI6301","1","Auxiliar","Lunes","16:00","18:00"
"CI6302","1","Catedra","Lunes","18:00","21:00"
"CI6303","1","Catedra","Martes","18:00","21:00"
"CI6306","1","Catedra","Jueves","14:30","16:00"
"CI6306","1","Auxiliar","Viernes","16:15","17:45"
"CI6309","1","Catedra","Jueves","12:00","13:30"
"CI6309","1","Auxiliar","Viernes","16:15","17:45"
"CI6310","1","Catedra","Jueves","14:30","16:00"
"CI6312","1","Catedra","Jueves","08:30","10:00"
"CI6401","1","Catedra","Jueves","16:15","19:30"
"CI6402","1","Catedra","Viernes","16:15","19:30"
"CI6501","1","Catedra","Jueves","08:30","10:00"
"CI6501","1","Auxiliar","Lunes","14:00","16:00"
"CI6502","1","Catedra","Martes","18:00","21:00"
"CI6502","1","Auxiliar","Lunes","14:00","16:00"
"CI6502","2","Catedra","Jueves","12:00","13:30"
"CI6502","2","Auxiliar","Lunes","10:00","12:00"
"CI6901","1","","","",""
"CI6908","1","Catedra","Jueves","16:00","18:00"
"CI6908","2","Catedra","Martes","16:00","18:00"
"CI6908","3","Catedra","Martes","16:00","18:00"
"CI6908","4","Catedra","Jueves","16:00","18:00"
"CI6909","1","Catedra","Jueves","16:00","18:00"
"CI6909","2","Catedra","Miércoles","16:00","18:00"
"CI6909","3","Catedra","Jueves","16:00","18:00"
"CI6909","4","Catedra","Jueves","16:00","18:00"
"CI6910","1","Catedra","Jueves","16:00","18:00"
"CI7112","1","Catedra","Viernes","08:30","10:00"
"CI7201","1","","","",""
"CI7202","1","","","",""
